country,1751,1752,1753,1754,1755,1756,1757,1758,1759,1760,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.33,11,18.3,18.3,11,11,22,33,11,22,29.3,25.7,36.7,33,33,33,22,22,25.7,29.3,29.3,25.7,22,22,22,18.3,22,22,22,22,22,25.7,29.3,29.3,29.3,33,25.7,29.3,29.3,29.3,25.7,40.3,40.3,44,62.3,69.7,51.3,55,40.3,62.3,62.3,62.3,62.3,62.3
Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460,6750,337,1060,385,117,,,1400,1850,1040,2200,3690,3800,7800,9980,14300,17000,25300,35400,35200,25400,22400,26800,25000,27100,27600,24200,19300,16800,18500,17200,21000,17700,24700,25200,21200,21600,28400,29200,35300,31500,32900,35900,51000,10200,21100,33300,38900,54800,50200,54900,51700,54000,53600,57600,58200,59900,63500,71500,73800,75200,82700,87300,89600,91000,102000,98300,95400
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0615,0.0738,0.0492,0.0615,,,,,,,,,,,,,,,,,0.381,,,,,1.16,,,1.62,1.72,2.28,2.89,2.61,2.73,3.06,2.93,9.25,10.6,8.83,12,13,17.6,18,16.9,20.5,23.6,29.3,29.9,39.1,40.2,47.1,49.6,52.3,59.5,60.4,65.8,67.5,71.4,74.5,80.4,91.1,100,106,124,127,146,148,171,192,223,253,259,250,245,273,243,278,311,313,330,324,336,380,413,373,342,365,336,134,114,104,113,138,152,182,179,260,323,359,386,525,631,711,794,960,1090,1250,1270,1350,1360,1630,1430,987,1260,1180,1250,1400,1690,1800,2050,2280,2470,2650,2800,3060,3470,3800,4160,4440,4670,4860,5010,5260,5640,6000,6370,6720,7030,7230,7530,7920,8400,8840,9220,9570,10100,10400,10800,11200,11300,11700,11500,11700,11900,12000,12900,13000,13500,13900,13600,12700,12300,11200,8620,6230,4530,5690,5610,5960,4670,4640,3890,4960,5440,5870,5590,5510,6630,7660,6790,6380,7660,10100,9840,9610
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,58.7,58.7,73.3,77,80.7,114,132,147,172,180,235,319,169,319,572,422,488,517,293,253,224,231,231,224,187,150,158,180,183,202,209,209,209,235,213,235,257,257,275,348,477,609,686,928,939,873,1150,1100,1390,1400,1550,909,946,1260,1640,1620,1700,1580,1950
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,18.3,36.7,36.7,25.7,25.7,36.7,36.7,51.3,58.7,77,80.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14100,12000,10900,9440,9150,8460,8060,6780,6350,6990,6910,7370,7400,7510,8010,8320,7900,7230,8070,7290,7060,7080,6970
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,11,14.7,,51.3,58.7,62.3,62.3,58.7,22,22,352,36.7,66,73.3,73.3,84.3,103,117,1510,1460,1180,1250,1310,1620,1890,2070,1980,2450,2580,2680,2860,3030,3270,3320,3630,3570,3700,4350,3950,5340,5730,7170,7230,6430,6130,5570,5710,6160,6180,6350,6110,7320,7050,8060,7760,7970,7660,8050,8210,8480,10400,11700,12700,13600,13800,15600,16600,16500,15200,16200,16000,18200,16800,16200,14500,13500,17200,20900,20000,20400,22600,22600,24100
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1530,1590,1640,1680,1710,1740,1770,1800,1830,1850,1880,1910,1930,1980,2010,2040,2080,2130,2220,2280,2330,2410,2430,2470
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,44,55,58.7,103,58.7,47.7,84.3,161,143,165,161,253,356,484,557,612,612,884,1270,1450,1530,1510,1480,1720,1490,1480,1470,1510,1950,2040,1940,601,711,700,722,730,766,818,667,473,279,282,315,312,326,337,348,374,392,422,491,488,521,616,726,748,667,565,517,792,891,1030,957,935
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,169,165,249,301,429,330,312,352,433,693,1200,1050,1460,664,1020,2630,18500,30100,35600,32300,21600,15200,14600,9350,11600,17900,20100,21200,26000,26900,28800,30800,30400,28600,31400,34100,32600,36400,37300,36800,42900,37300,38900,44100,46000,44200,45000,45500,44600,47100,48100,47800,49200,50400,52100,53300,50000,56000,58000,62000,39700,52700,56300,57000
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,62.3,51.3,55,47.7,47.7,51.3,44
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.121,0.146,0.0972,0.121,,,,,,,,,,,,,,,,,0.753,,,,,2.28,,,3.21,3.4,4.49,5.71,5.15,5.39,6.05,5.78,18.3,21,17.4,23.7,25.7,34.7,35.6,33.4,40.5,46.7,57.9,59.1,77.3,79.3,93,98,103,117,119,130,133,141,147,159,180,198,210,246,250,288,293,338,380,440,499,512,495,484,538,480,548,614,618,652,639,663,751,816,736,676,720,663,264,226,206,223,272,301,358,354,513,637,708,762,1040,1250,1400,1570,1900,2150,2460,2520,2660,2690,3220,2830,1950,2490,2330,2470,2770,3340,3550,4040,4500,4880,5230,5530,6040,6850,7510,8210,8770,9220,9600,9900,10400,11100,11800,12600,13300,13900,14300,14900,15600,16600,17500,18200,18900,19900,20600,21300,22100,22300,23100,22700,23100,23500,23700,25500,25600,26700,27400,26800,25200,24200,22100,17500,17400,16200,15700,15300,16200,13700,12200,12900,13100,12800,13200,13900,14200,15200,15000,12500,13500,13800,13800,12600,12800
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,36.7,44,51.3,58.7,7430,9020,9410,8660,8790,9890,10400,10800,10100,10400,11500,11600,11600,11400,12300,12200,11600,11400,12300,13200,13700,13200,13500,14200,14400,11800,11800,10900,11800,12100,11000,9430,8860,8290,8930,9170,9010,8670,8930,9660,10000,10600,10600,10800,10200,8320,8440,7940,7360,7690,8240,8800,9420,9900,11300,11500,11300,11000,10900,10400,11000,10900,10700,10100,9660
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10800,10300,10500,10800,11700,10600,12600,11700,12100,12000,10900,11300,11200,11300,10900,9490,9400,8700,8600,9400,8970,7850,7510
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,7.33,3.67,,,,,,,,,,7.33,,3.67,3.67,3.67,304,246,308,253,290,304,319,315,374,374,400,356,396,462,484,557,579,843,913,851,972,1030,1290,1070,1190,1690,994,847,1020,1130,1620,1030,1020,653,869,1060,1140,1290,1290,931,950,1030,1000,1030,1270,1270,1360,1650,1740,1920,1870,1740,1240,1700,1810,1740,1680,1820,1890,1770,1960,2340,2710,3120,3080
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,348,429,367,389,381,455,502,546,572,550,579,583,638,671,638,711,605,594,576,557,557,554,546,543,565,748,796,796,891,917,920,913,964,935,942,869,865,851,917,931,876,913,887,1060,946,1140,1180,1100,1220,1280
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14600,16700,17900,17500,19100,19400,23900,22600,23200,27300,28000,30800,30600,38000,34700,36200,40000,40800,42700,49900,56600,68600,75300,91700,94000,121000,125000,125000,114000,108000,126000,136000,134000,158000,164000,174000,168000,185000,204000,199000,218000,220000,219000,237000,243000
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.67,3.67,3.67,7.33,11,14.7,22,29.3,44,47.7,47.7,51.3,58.7,66,80.7,80.7,95.3,125,172,154,231,198,198,249,290,330,301,422,451,462,594,506,667,601,759,781,843,884,935,986,1110,1090,1330
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7,121,117,139,176,176,198,191,224,198,161,202,227,246,268,304,341,341,414,396,429,392,396,367,418,436,407,381,359,385,418,422,436,444,455,462,469,488,524,763,796,821,829,847,843,876,898,942,1010,1070,807,964,1050,994,1030,1410
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246,257,242,231,308,341,297,312,330,389,341,293,330,411,499,473,414,521,638,653,664,660,840,807,744,667,763,803,935,906,1020,1140,1310,997,1360,1200,1490,1860,2010,2170,2160,2060,2020,2650,2420,2120,2240,2520,2150,2350,2060,2490,2300,2580,2570,2700,2570,2720,2560,2400,2560,2540,2680,2340,2350
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,62.3,66,66,66,66,69.7,66,77,80.7,84.3,84.3,88,84.3,91.7,99,99,103,103,103,103,103,103
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,36.7,47.7,62.3,88,117,161,180,198,235,275,429,400,447,469,484,510,517,557,583,605,631,664,884,939,873,656,374,3290,3230,2850,906,920,968,983,1140,1070,1110,1120,1120,1150,1170,1270,1350,1390,1540,1590,1610,1840,1940,2120,2240,2390,2650,2670,2710
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,139,176,187,187,128,220,220,209,224,180,187,253,209,308,304,275,499,638,572,499,396,689,678,693,590,620,642,631,660,590,543,502,598,627,708,799,931,854,1050,1460,1520,1710,1770,1620,1830,1950,2000,2170,2430,2690,2860,2890,3060,3090,3300,3630,3690,3770,3710,3920,3920,3970,4070,4230
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,521,579,532,539,495,579,689,737,755,1000,1310,1430,1560,1720,1710,1920,2270,3770,3700,4160,8410,8640,11800,10200,14300,17200,26200,30700,41100,76300,90400,85600,72100,67900,57100,44700,31800,24100,22200,20400,16800,16200,16800,18900,21400,22000,24900,24300,22700,23200,22600,19000,19100,20100,22600,25600,29400,30500,29000,30500,34900,37200,36700,36300,39700,42200,49300,54100,58300,63100,65300,63800,66400,74300,75200,80900,90100,94000,102000,114000,126000,132000,144000,155000,164000,184000,193000,223000,241000,268000,285000,305000,278000,278000,289000,295000,307000,307000,362000,318000,332000,335000,339000,353000,333000,346000,370000,389000,392000,398000,413000,414000,440000,441000,466000,479000,481000,493000,476000,464000,484000,496000,490000,480000
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,99,103,106,106,110,117,110,125,169,143,143,143,121,121,139,117,161,114,121,136,143,150
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115,0.138,0.092,0.115,,,,,,,,,,,,,,,,,0.713,,,,,2.16,,,3.04,3.22,4.26,5.41,4.88,5.11,5.73,5.48,17.3,19.9,16.5,22.4,24.3,32.8,33.7,31.6,38.4,44.2,54.9,56,73.2,75.1,88.1,92.8,97.7,111,113,123,126,133,139,150,170,188,198,233,237,272,277,320,359,417,472,485,468,458,510,455,519,581,585,617,605,628,711,772,697,640,682,628,250,214,195,211,258,285,339,335,485,603,670,722,981,1180,1330,1480,1800,2030,2330,2380,2520,2550,3050,2680,1850,2360,2210,2340,2630,3160,3360,3820,4260,4620,4950,5230,5720,6480,7110,7780,8300,8730,9090,9370,9840,10500,11200,11900,12600,13100,13500,14100,14800,15700,16500,17200,17900,18800,19500,20200,20900,21100,21900,21500,21900,22200,22400,24200,24200,25300,25900,25400,23800,23000,21000,15600,12100,11200,11500,7100,6270,4500,3510,3710,3990,4290,4550,4900,4990,4680,4780,4550,4930,5040,4920,5000,4930
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,293,301,304,488,590,689,763,1140,1350,1290,1390,1970,1600,2050,1960,1950,2150,2480,2680,2850,3040,3280,3480,3750,4070,4400,4970,5780,6300,6880,6640,6760,7000,6450,9030,9670,10600,11600,10600,9990,12200,11000,9280,7950,7920,8040,7710,7710,7550,7510,7880,8290,8030,8550,8560,9390,12100,12000,13100,13800,21500,26200,38800,20800
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,1670,1620,1720,2010,2160,2270,1570,1740,1870,2000,2140,2340,2210,2380,2250,2750,1830,2580,2570,2340,2250,2210
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,33,40.3,91.7,150,176,191,235,213,370,466,319,396,389,330,356,422,524,686,832,942,1090,2560,2930,3570,4180,3590,3560,3520,3060,3270,3370,3640,3780,3080,3960,4420,4260,5470,5420,5630,5830,7290,8200,8050,9640,11100,11100,11500,12700,13100,16000,15900,15900,17100,17800,17800,17900,18900,20100,21200,22900,23500,25000,26000,28200,29600,30400,31200,31900,32000,33200,33900,37700,38300,37600,43300,45800,47400,50300,52900,52500,56000,57700,62700,59100,59900
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,22,11,11,11,62.3,51.3,66,47.7,51.3,58.7,40.3,66,66,58.7,29.3,51.3,55,47.7,55,58.7,44,58.7,902,931,1070,1080,1140,1380,1550,1770,1820,1800,1880,2630,1990,1660,2140,2010,2130,1870,2780,3240,2980,3620,3300,3560,3150,2890,2560,2710,2870,2640,3210,2490,2540,1980,1540,1150,983,983,1010,1040,1020,1020,1000,1080,1060,1110,1040,1130,1130,1190,1350,1580,1590,1920,1920,1820,1980,2260,2270,2530,2740,3220,3120,4020,8430
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3160,3050,3090,2940,2980,3000,3070,3030,3110,3220,3090,3230,3180,3190,1030,411,308,297,7.33,25.7,154,103,803,917,1130,1310,1460,1420,1660,2100,2410,2780,2720,2590,2880,2640,2860,2730,2810,3620,2930,3220,4620,5100,4900,4110,4680,4590,4900,5170,5160,5100,5530,5640,5600,5780,6570,6710,6790,4980,4120,4460,4280,4180,4890,5340,6240,6960,7260,7500,8080,8970,10100,8720,9210,9850,12400,11600,12800,12900,9800,10200,12500,14300,11100,12900,21600
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,1150,1390,1580,1630,1750,1800,1910,1660,1640,2020,1760,1870,1960,2310,2330,2360,3330,3070,3100,2830,3380,2630,3760
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.3,33,33,47.7,47.7,66,66,88,77,84.3,99,103,103,114,114,114,125,125,125,125,125,125,161,158,158,158,125,125,121,114,110,106,103,103,99,91.7,84.3,80.7,77,66,66,62.3,44,44,44,40.3,44,40.3,40.3,44,47.7
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,29.3,29.3,36.7,40.3,44,47.7,55,58.7,66,80.7,80.7,88,99,150,180,191,213,253,400,227,198,268,422,425,352,282,337,330,513,543,455,444,495,704,678,704,873,994,913,634,961,1330,1470,1700,2040,2490,2780,2250,3220,3070,3270,2630,2840,2670,3080,2560,2610,3420,4330,5060,5530,5860,6640,8030
